id,name,position,age,team_name,pos_code,team_code
3970,"DeMarre Carroll",SF,31,"Brooklyn Nets",SF,Bkn
2011,"Kyle Korver",SG,36,"Cleveland Cavaliers",SG,Cle
6454,"Shelvin Mack",PG,27,"Orlando Magic",PG,Orl
6622,"Mike Scott",PF,29,"Washington Wizards",PF,Wsh
2799,"Lou Williams",SG,31,"Los Angeles Clippers",SG,LAC
3417,"Jerryd Bayless",PG,29,"Philadelphia 76ers",PG,Phi
4240,"Avery Bradley",SG,27,"Los Angeles Clippers",SG,LAC
3209,"Jeff Green",SF,31,"Cleveland Cavaliers",SF,Cle
6427,"Bismack Biyombo",C,25,"Orlando Magic",C,Orl
6601,"Michael KiddGilchrist",SF,24,"Charlotte Bobcats",SF,Cha
2579258,"Cody Zeller",C,25,"Charlotte Bobcats",C,Cha
3415,"D.J. Augustin",PG,30,"Orlando Magic",PG,Orl
3224,"Joakim Noah",C,32,"New York Knicks",C,NY
2768,"Jarrett Jack",PG,34,"New York Knicks",PG,NY
6474,"Tristan Thompson",C,26,"Cleveland Cavaliers",C,Cle
2806,"Jose Calderon",PG,36,"Cleveland Cavaliers",PG,Cle
136,"Vince Carter",SG,41,"Sacramento Kings",SG,Sac
6588,"Evan Fournier",SF,25,"Orlando Magic",SF,Orl
3428,"Danilo Gallinari",SF,29,"Los Angeles Clippers",SF,LAC
3452,"JaVale McGee",C,30,"Golden State Warriors",C,GS
4298,"Timofey Mozgov",C,31,"Brooklyn Nets",C,Bkn
6469,"Kyle Singler",SF,29,"Oklahoma City Thunder",SF,OkC
3975,"Stephen Curry",PG,29,"Golden State Warriors",PG,GS
6589,"Draymond Green",PF,27,"Golden State Warriors",PF,GS
2386,"Andre Iguodala",SF,34,"Golden State Warriors",SF,GS
3460,"Marreese Speights",PF,30,"Orlando Magic",PF,Orl
6475,"Klay Thompson",SG,28,"Golden State Warriors",SG,GS
3414,"Omer Asik",C,31,"Chicago Bulls",C,Chi
3964,"Patrick Beverley",PG,29,"Los Angeles Clippers",PG,LAC
3554,"Omri Casspi",SF,29,"Golden State Warriors",SF,GS
2490620,"Robert Covington",SF,27,"Philadelphia 76ers",SF,Phi
2384,"Dwight Howard",C,32,"Charlotte Bobcats",C,Cha
4299,"Jeremy Lin",PG,29,"Brooklyn Nets",PG,Bkn
4251,"Paul George",SF,27,"Oklahoma City Thunder",SF,OkC
3438,"George Hill",PG,31,"Cleveland Cavaliers",PG,Cle
2774,"Ian Mahinmi",C,31,"Washington Wizards",C,Wsh
2177,"David West",PF,37,"Golden State Warriors",PF,GS
3442,"DeAndre Jordan",C,29,"Los Angeles Clippers",C,LAC
3024,"JJ Redick",SG,33,"Philadelphia 76ers",SG,Phi
4247,"Wesley Johnson",SF,30,"Los Angeles Clippers",SF,LAC
4003,"Jodie Meeks",SG,30,"Washington Wizards",SG,Wsh
3243,"Nick Young",SG,32,"Golden State Warriors",SG,GS
3444,"Kosta Koufos",C,28,"Sacramento Kings",C,Sac
3445,"Courtney Lee",SG,32,"New York Knicks",SG,NY
1017,"Zach Randolph",PF,36,"Sacramento Kings",PF,Sac
3418,"Michael Beasley",SF,29,"New York Knicks",SF,NY
1966,"LeBron James",SF,33,"Cleveland Cavaliers",SF,Cle
2016,"Zaza Pachulia",C,34,"Golden State Warriors",C,GS
3974,"Dante Cunningham",SF,30,"Brooklyn Nets",SF,Bkn
3449,"Kevin Love",PF,29,"Cleveland Cavaliers",PF,Cle
2393,"Shaun Livingston",PG,32,"Golden State Warriors",PG,GS
6617,"Austin Rivers",PG,25,"Los Angeles Clippers",PG,LAC
3232,"Jason Smith",PF,31,"Washington Wizards",PF,Wsh
1975,"Carmelo Anthony",PF,33,"Oklahoma City Thunder",PF,OkC
2753,"Raymond Felton",PG,33,"Oklahoma City Thunder",PG,OkC
2528210,"Tim Hardaway Jr.",SF,25,"New York Knicks",SF,NY
6468,"Iman Shumpert",SG,27,"Sacramento Kings",SG,Sac
2444,"JR Smith",SG,32,"Cleveland Cavaliers",SG,Cle
2991235,"Steven Adams",C,24,"Oklahoma City Thunder",C,OkC
1978,"Nick Collison",PF,37,"Oklahoma City Thunder",PF,OkC
3202,"Kevin Durant",SF,29,"Golden State Warriors",SF,GS
6603,"Jeremy Lamb",SG,25,"Charlotte Bobcats",SG,Cha
2530596,"Andre Roberson",SG,26,"Oklahoma City Thunder",SG,OkC
3468,"Russell Westbrook",PG,29,"Oklahoma City Thunder",PG,OkC
3187,"Arron Afflalo",SG,32,"Orlando Magic",SG,Orl
6440,"Tobias Harris",SF,25,"Los Angeles Clippers",SF,LAC
2596108,"Michael CarterWilliams",PG,26,"Charlotte Bobcats",PG,Cha
6461,"Markieff Morris",PF,28,"Washington Wizards",PF,Wsh
3416,"Nicolas Batum",SG,29,"Charlotte Bobcats",SG,Cha
2531210,"Allen Crabbe",SG,25,"Brooklyn Nets",SG,Bkn
3447,"Robin Lopez",C,29,"Chicago Bulls",C,Chi
6576,"Quincy Acy",SF,27,"Brooklyn Nets",SF,Bkn
3190,"Marco Belinelli",SG,31,"Philadelphia 76ers",SG,Phi
2769,"Amir Johnson",PF,30,"Philadelphia 76ers",PF,Phi
4264,"Patrick Patterson",PF,28,"Oklahoma City Thunder",PF,OkC
6619,"Terrence Ross",SG,27,"Orlando Magic",SG,Orl
6543,"Julyan Stone",PG,29,"Charlotte Bobcats",PG,Cha
2579260,"Trey Burke",PG,25,"New York Knicks",PG,NY
6447,"Enes Kanter",C,25,"New York Knicks",C,NY
2797,"Marvin Williams",PF,31,"Charlotte Bobcats",PF,Cha
6580,"Bradley Beal",SG,24,"Washington Wizards",SG,Wsh
4270,"Trevor Booker",PF,30,"Philadelphia 76ers",PF,Phi
2758,"Marcin Gortat",C,34,"Washington Wizards",C,Wsh
2594922,"Otto Porter Jr.",SF,24,"Washington Wizards",SF,Wsh
4023,"Garrett Temple",SG,31,"Sacramento Kings",SG,Sac
4237,"John Wall",PG,27,"Washington Wizards",PG,Wsh
6479,"Kemba Walker",PG,27,"Charlotte Bobcats",PG,Cha
6615,"Kyle O'Quinn",C,27,"New York Knicks",C,NY
6478,"Nikola Vucevic",C,27,"Orlando Magic",C,Orl
3064509,"James Young",SG,22,"Philadelphia 76ers",SG,Phi
3078284,"Noah Vonleh",PF,22,"Chicago Bulls",PF,Chi
2528794,"Joe Harris",SG,26,"Brooklyn Nets",SG,Bkn
2580782,"Spencer Dinwiddie",PG,24,"Brooklyn Nets",PG,Bkn
2284101,"Justin Holiday",SG,28,"Chicago Bulls",SG,Chi
2528426,"Jordan Clarkson",PG,25,"Cleveland Cavaliers",PG,Cle
3064440,"Zach LaVine",PG,22,"Chicago Bulls",PG,Chi
6485,"Lance Thomas",SF,29,"New York Knicks",SF,NY
3064290,"Aaron Gordon",PF,22,"Orlando Magic",PF,Orl
3059318,"Joel Embiid",C,23,"Philadelphia 76ers",C,Phi
2991070,"Jerami Grant",SF,23,"Oklahoma City Thunder",SF,OkC
2608891,"JaKarr Sampson",SF,24,"Sacramento Kings",SF,Sac
2991042,"Nik Stauskas",SG,24,"Brooklyn Nets",SG,Bkn
3113297,"Bruno Caboclo",SF,22,"Sacramento Kings",SF,Sac
2581177,"Rodney Hood",SG,25,"Cleveland Cavaliers",SG,Cle
2488945,"Tim Frazier",PG,27,"Washington Wizards",PG,Wsh
2488713,"Jack Cooley",PF,26,"Sacramento Kings",PF,Sac
2579294,"Frank Kaminsky",PF,24,"Charlotte Bobcats",PF,Cha
3113587,"Cristiano Felicio",C,25,"Chicago Bulls",C,Chi
3064482,"Bobby Portis",PF,23,"Chicago Bulls",PF,Chi
2566745,"Quinn Cook",PG,24,"Golden State Warriors",PG,GS
2982340,"Justin Anderson",SG,24,"Philadelphia 76ers",SG,Phi
3892818,"Emmanuel Mudiay",PG,21,"New York Knicks",PG,NY
3155535,"Kevon Looney",SF,22,"Golden State Warriors",SF,GS
2991184,"Sam Dekker",SF,23,"Los Angeles Clippers",SF,LAC
2991055,"Montrezl Harrell",PF,24,"Los Angeles Clippers",PF,LAC
2580365,"Larry Nance Jr.",PF,25,"Cleveland Cavaliers",PF,Cle
3136776,"D'Angelo Russell",PG,21,"Brooklyn Nets",PG,Bkn
3137733,"Rashad Vaughn",SG,21,"Orlando Magic",SG,Orl
3064291,"Rondae HollisJefferson",SF,23,"Brooklyn Nets",SF,Bkn
3153165,"Chris McCullough",PF,23,"Washington Wizards",PF,Wsh
2531047,"Jerian Grant",PG,25,"Chicago Bulls",PG,Chi
3102531,"Kristaps Porzingis",PF,22,"New York Knicks",PF,NY
2531364,"Josh Huestis",SF,26,"Oklahoma City Thunder",SF,OkC
3064230,"Cameron Payne",PG,23,"Chicago Bulls",PG,Chi
2995706,"Mario Hezonja",SG,22,"Orlando Magic",SG,Orl
2993370,"Richaun Holmes",PF,24,"Philadelphia 76ers",PF,Phi
2530530,"T.J. McConnell",PG,25,"Philadelphia 76ers",PG,Phi
3135048,"Jahlil Okafor",C,22,"Brooklyn Nets",C,Bkn
2991282,"Willie CauleStein",C,24,"Sacramento Kings",C,Sac
4376,"Boban Marjanovic",C,29,"Los Angeles Clippers",C,LAC
2579466,"Jonathon Simmons",SF,28,"Orlando Magic",SF,Orl
2595231,"Treveon Graham",SG,24,"Charlotte Bobcats",SG,Cha
3133603,"Kelly Oubre Jr.",SF,22,"Washington Wizards",SF,Wsh
2282117,"John Holland",SG,29,"Cleveland Cavaliers",SG,Cle
,,,,"Washington Wizards",,Wsh
3907821,"Dwayne Bacon",SF,22,"Charlotte Bobcats",SF,Cha
3074765,"Isaiah Hicks",PF,23,"New York Knicks",PF,NY
2991054,"Mangok Mathiang",PF,25,"Charlotte Bobcats",PF,Cha
4066262,"Malik Monk",SG,20,"Charlotte Bobcats",SG,Cha
2982329,"Marcus Paige",PG,24,"Charlotte Bobcats",PG,Cha
2991047,"Ryan Arcidiacono",PG,23,"Chicago Bulls",PG,Chi
3907386,"Antonio Blakeney",SG,21,"Chicago Bulls",SG,Chi
2991139,"Kris Dunn",PG,23,"Chicago Bulls",PG,Chi
4066336,"Lauri Markkanen",PF,20,"Chicago Bulls",PF,Chi
3062744,"David Nwaba",PG,25,"Chicago Bulls",PG,Chi
2999549,"Denzel Valentine",SF,24,"Chicago Bulls",SF,Chi
3893023,"Paul Zipser",SF,24,"Chicago Bulls",SF,Chi
3893016,"Cedi Osman",SF,22,"Cleveland Cavaliers",SF,Cle
4017838,"Ante Zizic",PF,21,"Cleveland Cavaliers",PF,Cle
3923250,"PJ Dozier",PG,21,"Oklahoma City Thunder",PG,OkC
3064427,"Jordan Bell",PF,23,"Golden State Warriors",PF,GS
3948153,"Chris Boucher",PF,25,"Golden State Warriors",PF,GS
3064559,"Damian Jones",C,22,"Golden State Warriors",C,GS
3137730,"Patrick McCaw",SG,22,"Golden State Warriors",SG,GS
3059273,"Demetrius Jackson",PG,23,"Philadelphia 76ers",PG,Phi
3078286,"Troy Williams",SF,23,"New York Knicks",SF,NY
3912854,"Jawun Evans",PG,21,"Los Angeles Clippers",PG,LAC
4192,"Milos Teodosic",PG,30,"Los Angeles Clippers",PG,LAC
3064539,"Sindarius Thornwell",SG,23,"Los Angeles Clippers",SG,LAC
3002137,"Tyrone Wallace",SG,23,"Los Angeles Clippers",SG,LAC
2325499,"C.J. Williams",SG,28,"Los Angeles Clippers",SG,LAC
4066328,"Jarrett Allen",C,19,"Brooklyn Nets",C,Bkn
2992564,"Milton Doyle",SG,24,"Brooklyn Nets",SG,Bkn
2991043,"Caris LeVert",SG,23,"Brooklyn Nets",SG,Bkn
3136477,"Isaiah Whitehead",SG,22,"Brooklyn Nets",SG,Bkn
3059276,"Jamel Artis",SG,25,"Orlando Magic",SG,Orl
2580349,"Ron Baker",SG,24,"New York Knicks",SG,NY
2991149,"Damyean Dotson",SG,23,"New York Knicks",SG,NY
2999409,"Willy Hernangomez",C,23,"Charlotte Bobcats",C,Cha
3064560,"Luke Kornet",PF,22,"New York Knicks",PF,NY
4230547,"Frank Ntilikina",PG,19,"New York Knicks",PG,NY
2995702,"Alex Abrines",SG,24,"Oklahoma City Thunder",SG,OkC
4230546,"Terrance Ferguson",SG,19,"Oklahoma City Thunder",SG,OkC
3147351,"Daniel Hamilton",SG,22,"Oklahoma City Thunder",SG,OkC
3064516,"Dakari Johnson",C,22,"Oklahoma City Thunder",C,OkC
2578240,"Khem Birch",C,25,"Orlando Magic",C,Orl
4065654,"Jonathan Isaac",PF,20,"Orlando Magic",PF,Orl
3074797,"Wesley Iwundu",SF,23,"Orlando Magic",SF,Orl
4066636,"Markelle Fultz",PG,19,"Philadelphia 76ers",PG,Phi
3929325,"Furkan Korkmaz",SG,20,"Philadelphia 76ers",SG,Phi
3893019,"Timothe LuwawuCabarrot",SG,22,"Philadelphia 76ers",SG,Phi
3032978,"Dario Saric",PF,23,"Philadelphia 76ers",PF,Phi
3907387,"Ben Simmons",PG,21,"Philadelphia 76ers",PG,Phi
3037789,"Bogdan Bogdanovic",SG,25,"Sacramento Kings",SG,Sac
4066259,"De'Aaron Fox",PG,20,"Sacramento Kings",PG,Sac
4065649,"Harry Giles",PF,19,"Sacramento Kings",PF,Sac
2990984,"Buddy Hield",SG,24,"Sacramento Kings",SG,Sac
3138156,"Justin Jackson",SF,22,"Sacramento Kings",SF,Sac
3936296,"Skal Labissiere",PF,21,"Sacramento Kings",PF,Sac
3059315,"Frank Mason III",PG,23,"Sacramento Kings",PG,Sac
3059286,"London Perrantes",PG,23,"Cleveland Cavaliers",PG,Cle
3137798,"Devin Robinson",SF,22,"Washington Wizards",SF,Wsh
6621,"Tomas Satoransky",SF,26,"Washington Wizards",SF,Wsh
3079021,"James Webb III",SF,24,"Brooklyn Nets",SF,Bkn
3899663,"Dimitrios Agravanis",PF,23,"Sacramento Kings",PF,Sac
